Year,County,NCICCode,allSum
2016,Los Angeles County,Los Angeles Co. Sheriff's Department,100083
2016,Los Angeles County,Alhambra,9581
2016,Los Angeles County,Arcadia,7917
2016,Los Angeles County,Artesia,3037
2016,Los Angeles County,Avalon,199
2016,Los Angeles County,Azusa,5612
2016,Los Angeles County,Baldwin Park,7501
2016,Los Angeles County,Bell,4663
2016,Los Angeles County,Bellflower,10051
2016,Los Angeles County,Bell Gardens,4371
2016,Los Angeles County,El Camino College,447
2016,Los Angeles County,La Habra Heights,494
2016,Los Angeles County,Union Pacific RR - Los Angeles,1099
2016,Los Angeles County,Metropolitan Trans. Authority (MTA),110
2016,Los Angeles County,Pasadena Community. College,349
2016,Los Angeles County,Westlake Village,1011
2016,Los Angeles County,Beverly Hills,6609
2016,Los Angeles County,Bradbury,30
2016,Los Angeles County,Burbank,14074
2016,Los Angeles County,Claremont,4532
2016,Los Angeles County,Commerce,5544
2016,Los Angeles County,Compton,14841
2016,Los Angeles County,Covina,6288
2016,Los Angeles County,Cudahy,1340
2016,Los Angeles County,Culver City,11709
2016,Los Angeles County,Cerritos,10443
2016,Los Angeles County,Agoura Hills,1231
2016,Los Angeles County,West Hollywood,8528
2016,Los Angeles County,Santa Clarita,14696
2016,Los Angeles County,Diamond Bar,4440
2016,Los Angeles County,Downey,15639
2016,Los Angeles County,Duarte,1920
2016,Los Angeles County,El Monte,11903
2016,Los Angeles County,El Segundo,3382
2016,Los Angeles County,Gardena,7680
2016,Los Angeles County,Glendale,16719
2016,Los Angeles County,Glendora,6678
2016,Los Angeles County,Hawaiian Gardens,1560
2016,Los Angeles County,Hawthorne,13417
2016,Los Angeles County,Hermosa Beach,2441
2016,Los Angeles County,Calabasas,1471
2016,Los Angeles County,Malibu,1984
2016,Los Angeles County,Los Angeles Transit Serv. Bureau,7215
2016,Los Angeles County,Hidden Hills,85
2016,Los Angeles County,Huntington Park,9726
2016,Los Angeles County,Industry,5730
2016,Los Angeles County,Inglewood,13030
2016,Los Angeles County,Irwindale,937
2016,Los Angeles County,Lakewood,12163
2016,Los Angeles County,La Mirada,4222
2016,Los Angeles County,La Puente,2925
2016,Los Angeles County,La Verne,2753
2016,Los Angeles County,Lawndale,2953
2016,Los Angeles County,Lomita,1834
2016,Los Angeles County,Long Beach,72034
2016,Los Angeles County,Los Angeles,534515
2016,Los Angeles County,Lynwood,8707
2016,Los Angeles County,Manhattan Beach,5019
2016,Los Angeles County,Maywood,2243
2016,Los Angeles County,Monrovia,3976
2016,Los Angeles County,Montebello,9411
2016,Los Angeles County,Monterey Park,7761
2016,Los Angeles County,Norwalk,10164
2016,Los Angeles County,Palmdale,15573
2016,Los Angeles County,Palos Verdes Estates,522
2016,Los Angeles County,Paramount,8672
2016,Los Angeles County,Pasadena,17812
2016,Los Angeles County,Pico Rivera,7803
2016,Los Angeles County,Pomona,22397
2016,Los Angeles County,Redondo Beach,8643
2016,Los Angeles County,Rolling Hills,95
2016,Los Angeles County,Rolling Hills Estates,625
2016,Los Angeles County,Rosemead,6184
2016,Los Angeles County,San Dimas,3755
2016,Los Angeles County,San Fernando,2427
2016,Los Angeles County,San Gabriel,3342
2016,Los Angeles County,San Marino,1257
2016,Los Angeles County,Sante Fe Springs,5637
2016,Los Angeles County,Santa Monica,19408
2016,Los Angeles County,Sierra Madre,583
2016,Los Angeles County,Signal Hill,4054
2016,Los Angeles County,South El Monte,2883
2016,Los Angeles County,South Gate,16315
2016,Los Angeles County,South Pasadena,3071
2016,Los Angeles County,Temple City,2881
2016,Los Angeles County,Torrance,15719
2016,Los Angeles County,Vernon,1586
2016,Los Angeles County,Walnut,2516
2016,Los Angeles County,West Covina,13317
2016,Los Angeles County,Whittier,13387
2016,Los Angeles County,Carson,12800
2016,Los Angeles County,Cal Poly - Pomona,748
2016,Los Angeles County,Rancho Palos Verdes,1976
2016,Los Angeles County,CSU Dominguez Hills,196
2016,Los Angeles County,CSU Long Beach,827
2016,Los Angeles County,CSU Los Angeles,615
2016,Los Angeles County,CSU Northridge,1119
2016,Los Angeles County,La Canada-Flintridge,1425
2016,Los Angeles County,Lancaster,21237
2016,Los Angeles County,UC Los Angeles,3699
2016,Los Angeles County,CA Highway Patrol - Los Angeles,3093
2016,Orange County,Orange Co. Sheriff's Department,5759
2016,Orange County,Anaheim,45499
2016,Orange County,Brea,6994
2016,Orange County,Buena Park,12115
2016,Orange County,Costa Mesa,21673
2016,Orange County,Cypress,3698
2016,Orange County,La Palma,1780
2016,Orange County,Fountain Valley,6564
2016,Orange County,Fullerton,16539
2016,Orange County,Garden Grove,20790
2016,Orange County,Huntington Beach,21182
2016,Orange County,Laguna Beach,3428
2016,Orange County,La Habra,6413
2016,Orange County,Los Alamitos,1049
2016,Orange County,Newport Beach,10358
2016,Orange County,Orange,12599
2016,Orange County,Placentia,3682
2016,Orange County,San Clemente,3947
2016,Orange County,San Juan Capistrano,2339
2016,Orange County,Santa Ana,35601
2016,Orange County,Seal Beach,2595
2016,Orange County,Stanton,3767
2016,Orange County,Tustin,8568
2016,Orange County,Villa Park,376
2016,Orange County,Westminster,13101
2016,Orange County,Yorba Linda,3314
2016,Orange County,Irvine,17563
2016,Orange County,CSU Fullerton,947
2016,Orange County,Union Pacific RR - Orange,9
2016,Orange County,Orange Coast DPR,250
2016,Orange County,Fairview Developmental Center,23
2016,Orange County,Mission Viejo,4777
2016,Orange County,Dana Point,2813
2016,Orange County,Laguna Niguel,3642
2016,Orange County,Laguna Hills,2544
2016,Orange County,Lake Forest,3820
2016,Orange County,Laguna Woods,756
2016,Orange County,Rancho Santa Margarita,1435
2016,Orange County,Aliso Viejo,1892
2016,Orange County,Irvine Valley College,129
2016,Orange County,UC Irvine,1972
2016,Orange County,CA Highway Patrol - Orange,215
2016,Ventura County,Ventura Co. Sheriff's Department,4131
2016,Ventura County,Camarillo,5532
2016,Ventura County,Fillmore,671
2016,Ventura County,Ojai,332
2016,Ventura County,Oxnard,29504
2016,Ventura County,Port Hueneme,1985
2016,Ventura County,Santa Paula,1933
2016,Ventura County,Thousand Oaks,8074
2016,Ventura County,Ventura,18310
2016,Ventura County,Simi Valley,7746
2016,Ventura County,Angeles DPR,48
2016,Ventura County,Moorpark,1528
2016,Ventura County,Channel Coast DPR,148
2016,Ventura County,Hungry Valley DPR,0
2016,Ventura County,Union Pacific RR - Ventura,8
2016,Ventura County,CSU Channel Islands,357
2016,Ventura County,Ventura Community College,338
2016,Ventura County,CA Highway Patrol - Ventura,162
