NCICCode,County,LAT,LNG,allSum
Agoura Hills,Los Angeles County,34.123286,-118.758541,1231
Alhambra,Los Angeles County,34.08273200000001,-118.136743,9581
Aliso Viejo,Orange County,33.576212,-117.730368,1892
Anaheim,Orange County,33.835015,-117.87939457142856,45499
Arcadia,Los Angeles County,34.132271,-118.03721800000001,7917
Artesia,Los Angeles County,33.8676,-118.08061200000002,3037
Avalon,Los Angeles County,33.399248,-118.435601,199
Azusa,Los Angeles County,34.280333,-117.86614099999998,5612
Baldwin Park,Los Angeles County,34.097409999999996,-117.96826899999999,7501
Bell Gardens,Los Angeles County,33.970343,-118.17136799999999,4371
Bellflower,Los Angeles County,33.887821,-118.12725,10051
Beverly Hills,Los Angeles County,34.075895,-118.39988566666666,6609
Brea,Orange County,33.92787,-117.8481855,6994
Buena Park,Orange County,33.8597235,-118.00432999999998,12115
Burbank,Los Angeles County,34.18587519999999,-118.31874,14074
Calabasas,Los Angeles County,34.123305,-118.671025,1471
Camarillo,Ventura County,34.211959,-119.03604150000001,5532
Carson,Los Angeles County,33.84826533333333,-118.25589966666666,12800
Cerritos,Los Angeles County,33.867743,-118.06947199999999,10443
Claremont,Los Angeles County,34.128066,-117.714773,4532
Compton,Los Angeles County,33.89312666666667,-118.225714,14841
Costa Mesa,Orange County,33.66367699999999,-117.91414600000002,21673
Covina,Los Angeles County,34.087512000000004,-117.88277133333334,6288
Culver City,Los Angeles County,34.0085925,-118.3927595,11709
Cypress,Orange County,33.818477,-118.038307,3698
Dana Point,Orange County,33.475120000000004,-117.705675,2813
Diamond Bar,Los Angeles County,33.986270000000005,-117.82128200000001,4440
Downey,Los Angeles County,33.93932233333334,-118.12931866666666,15639
Duarte,Los Angeles County,34.1473725,-117.9632225,1920
El Monte,Los Angeles County,34.0759965,-118.02940050000001,11903
El Segundo,Los Angeles County,33.91714,-118.40426699999999,3382
Fillmore,Ventura County,34.404104,-118.89777600000001,671
Fountain Valley,Orange County,33.710582,-117.95112900000001,6564
Fullerton,Orange County,33.882408,-117.9259465,16539
Garden Grove,Orange County,33.777290199999996,-117.96821259999999,20790
Gardena,Los Angeles County,33.890224999999994,-118.299256,7680
Glendale,Los Angeles County,34.15965144444444,-118.25522533333333,16719
Glendora,Los Angeles County,34.137947999999994,-117.8483295,6678
Hawaiian Gardens,Los Angeles County,33.830482,-118.073451,1560
Hawthorne,Los Angeles County,33.914775,-118.348083,13417
Hermosa Beach,Los Angeles County,33.864259000000004,-118.399303,2441
Huntington Beach,Orange County,33.697382000000005,-118.01083325,21182
Huntington Park,Los Angeles County,33.979248,-118.21743799999999,9726
Inglewood,Los Angeles County,33.95368,-118.3468196,13030
Irvine,Orange County,33.68196144444445,-117.79208277777778,17563
La Habra,Orange County,33.942708,-117.952483,6413
La Mirada,Los Angeles County,33.902045,-118.00896100000001,4222
La Palma,Orange County,33.850615999999995,-118.039565,1780
La Puente,Los Angeles County,34.0379155,-117.96091799999999,2925
La Verne,Los Angeles County,34.180009999999996,-117.77393899999998,2753
Laguna Beach,Orange County,33.57093,-117.77304199999999,3428
Laguna Hills,Orange County,33.591304,-117.69751200000002,2544
Laguna Niguel,Orange County,33.528868,-117.701175,3642
Laguna Woods,Orange County,33.612925,-117.731443,756
Lake Forest,Orange County,33.645736,-117.685503,3820
Lakewood,Los Angeles County,33.846016666666664,-118.11321466666668,12163
Lancaster,Los Angeles County,34.72477933333334,-118.128943,21237
Lawndale,Los Angeles County,33.88856,-118.35181299999999,2953
Lomita,Los Angeles County,33.793809,-118.31716999999999,1834
Long Beach,Los Angeles County,33.793865,-118.16469084615383,72034
Los Alamitos,Orange County,33.795012,-118.062692,1049
Los Angeles,Los Angeles County,34.04220912307693,-118.30346786153844,534515
Lynwood,Los Angeles County,33.923533,-118.200705,8707
Malibu,Los Angeles County,34.0525755,-118.77716699999999,1984
Manhattan Beach,Los Angeles County,33.889151,-118.40212700000001,5019
Maywood,Los Angeles County,33.987728999999995,-118.18659699999999,2243
Mission Viejo,Orange County,33.609221,-117.65448950000001,4777
Monrovia,Los Angeles County,34.1528,-118.000482,3976
Montebello,Los Angeles County,34.015444,-118.11101200000002,9411
Monterey Park,Los Angeles County,34.0519435,-118.1289295,7761
Moorpark,Ventura County,34.295652000000004,-118.897875,1528
Newport Beach,Orange County,33.616226000000005,-117.90352625,10358
Norwalk,Los Angeles County,33.906956,-118.08263999999998,10164
Ojai,Ventura County,34.530198999999996,-119.31013300000001,332
Orange,Orange County,33.8017166,-117.84162799999999,12599
Oxnard,Ventura County,34.194054,-119.17832449999999,29504
Palmdale,Los Angeles County,34.5445,-118.05005374999999,15573
Paramount,Los Angeles County,33.898883000000005,-118.166629,8672
Pasadena,Los Angeles County,34.152660000000004,-118.13493866666666,17812
Pico Rivera,Los Angeles County,33.989523999999996,-118.089299,7803
Placentia,Orange County,33.881158,-117.85478300000001,3682
Pomona,Los Angeles County,34.062962666666664,-117.76149400000001,22397
Port Hueneme,Ventura County,34.106896,-119.099535,1985
Rancho Palos Verdes,Los Angeles County,33.753155,-118.36796299999999,1976
Rancho Santa Margarita,Orange County,33.619671999999994,-117.61208700000002,1435
Redondo Beach,Los Angeles County,33.8516105,-118.378742,8643
Rosemead,Los Angeles County,34.065493,-118.084529,6184
San Clemente,Orange County,33.4457405,-117.610142,3947
San Dimas,Los Angeles County,34.110186,-117.81038999999998,3755
San Fernando,Los Angeles County,34.286687,-118.43508,2427
San Gabriel,Los Angeles County,34.1030245,-118.0916785,3342
San Juan Capistrano,Orange County,33.50186,-117.608646,2339
San Marino,Los Angeles County,34.122671000000004,-118.11291100000001,1257
Santa Ana,Orange County,33.74289683333333,-117.86889850000001,35601
Santa Clarita,Los Angeles County,34.493239,-118.46092099999998,14696
Santa Monica,Los Angeles County,34.0234014,-118.486659,19408
Santa Paula,Ventura County,34.402343,-119.094824,1933
Seal Beach,Orange County,33.758404999999996,-118.075043,2595
Sierra Madre,Los Angeles County,34.168771,-118.05021599999999,583
Signal Hill,Los Angeles County,33.803430999999996,-118.16977,4054
Simi Valley,Ventura County,34.283567,-118.73112449999999,7746
South El Monte,Los Angeles County,34.046243,-118.053748,2883
South Gate,Los Angeles County,33.944159,-118.192761,16315
South Pasadena,Los Angeles County,34.108957000000004,-118.15661499999999,3071
Stanton,Orange County,33.801190999999996,-117.994904,3767
Temple City,Los Angeles County,34.102077,-118.057754,2881
Thousand Oaks,Ventura County,34.203065499999994,-118.85043150000001,8074
Torrance,Los Angeles County,33.844526333333334,-118.32809133333332,15719
Tustin,Orange County,33.736857,-117.80193299999999,8568
Ventura,Ventura County,34.19989566666667,-119.39653233333333,18310
Villa Park,Orange County,33.81763,-117.810046,376
Walnut,Los Angeles County,34.018195,-117.854821,2516
West Covina,Los Angeles County,34.05038966666667,-117.91053366666667,13317
West Hollywood,Los Angeles County,34.093828,-118.381697,8528
Westlake Village,Los Angeles County,34.136077,-118.888919,1011
Westminster,Orange County,33.752468,-117.99393300000001,13101
Whittier,Los Angeles County,33.963572500000005,-118.02459983333334,13387
Yorba Linda,Orange County,33.890926500000006,-117.76328999999998,3314
