ZIP,LAT,LNG,county,school
90006,34.048041,-118.294177,Los Angeles,Loyola High School of Los Angeles
90036,34.07041,-118.350411,Los Angeles,Yeshiva Rav Isacsohn / Torath Em
90049,34.09254,-118.491064,Los Angeles,Brentwood School
90404,34.026608,-118.473643,Los Angeles,Crossroads School for Arts and Sciences
90503,33.840398,-118.353715,Los Angeles,Bishop Montgomery High
91302,34.123305,-118.671025,Los Angeles,Viewpoint School
91304,34.224196,-118.632394,Los Angeles,Chaminade College Preparatory
91304,34.224196,-118.632394,Los Angeles,Faith Baptist
91311,34.293338,-118.603118,Los Angeles,Sierra Canyon School
91345,34.265879,-118.456748,Los Angeles,Bishop Alemany High
91352,34.230854,-118.365856,Los Angeles,Village Christian Schools
91360,34.212805,-118.882179,Ventura,La Reina High School
91360,34.212805,-118.882179,Ventura,Trinity Pacific Christian School
91360,34.212805,-118.882179,Ventura,St. Paschal Baylon Elementary
91362,34.193326,-118.818684,Los Angeles,Oaks Christian School
91423,34.148617,-118.433298,Los Angeles,Notre Dame High School
91607,34.165783,-118.399795,Los Angeles,Campbell Hall (Episcopal)
92618,33.666942,-117.732094,Orange,Crean Lutheran High School
92626,33.679591,-117.908531,Orange,Mariners Christian
92629,33.47512,-117.705675,Orange,St. Edward the Confessor Parish School
92675,33.50186,-117.608646,Orange,JSerra Catholic High School
92675,33.50186,-117.608646,Orange,St. Margaret's Episcopal School
92675,33.50186,-117.608646,Orange,Saddleback Valley Christian
92677,33.528868,-117.701175,Orange,St. Anne School
92688,33.619672,-117.612087,Orange,Serra Catholic Elementary
92704,33.721131,-117.90511,Orange,Calvary Chapel High-Maranatha Christian
92801,33.844983,-117.952151,Orange,Servite High School
92801,33.844983,-117.952151,Orange,Fairmont Preparatory Academy
92866,33.784615,-117.844774,Orange,St. John's Lutheran School
92867,33.80098,-117.843772,Orange,Lutheran High School of Orange County
92886,33.896339,-117.796416,Orange,Friends Christian School
93003,34.283668,-119.223196,Ventura,Saint Bonaventure High School
93003,34.283668,-119.223196,Ventura,Ventura Missionary Christian
93003,34.283668,-119.223196,Ventura,Our Lady of the Assumption
93010,34.227892,-119.079552,Ventura,St. Mary Magdalen
93023,34.530199,-119.310133,Ventura,Mother of Divine Grace
93023,34.530199,-119.310133,Ventura,Ojai Valley School
93033,34.150212,-119.127729,Ventura,Santa Clara High School
93063,34.308729,-118.687223,Ventura,Phoenix Ranch School
93065,34.258405,-118.775026,Ventura,Grace Brethren Junior Senior High School
93065,34.258405,-118.775026,Ventura,Grace Brethren Elementary
93065,34.258405,-118.775026,Ventura,International Virtual Learning Academy
